PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
0.9180453555928192,0.756158340274434,2,1,0
-1.929172934180207,0.11676529118742647,1,3,0
1.0627152593114046,0.2760080324672319,2,1,0
-0.05975922647219682,2.3667545573127917,1,3,0
1.206682009215184,-1.723706387766043,0,0,0
-0.7702747138889465,-2.728524329383374,0,2,1
-0.54059345333781,0.4106282266451959,1,3,0
-0.1860672601014068,-1.2251887322993242,0,0,0
-2.0591860253321332,-0.5601334800409813,1,0,0
2.449610883970079,-3.3280580730046943,0,1,1
-2.030968622722014,0.0864221511911621,1,3,0
0.7881816693936385,-0.6500963132584962,0,2,1
-1.1756773231442779,1.5648855438911327,1,3,0
-0.3029374205648277,1.6683417826063662,1,2,1
-1.5486025473995315,-1.1715041759934157,0,0,0
2.3969843214960505,-2.44444532308923,2,1,-1
0.4034824485234509,1.1244688387174033,1,3,0
0.24225366993278102,-0.9014204925370616,0,0,0
-1.353679479443813,0.18762405880896144,1,3,0
1.0690610694904983,1.2145865499478046,2,1,1
0.9147524658805422,0.8262057641188985,2,2,1
-0.5887369197783165,0.8199516236586939,1,3,0
0.15488629672427046,-1.0794572522036365,0,2,1
-1.0227711911844446,1.567410079053982,1,2,1
0.36001607258097684,1.0893998790487753,1,2,-1
-1.0598412255820922,2.448256511561849,1,2,1
-0.9158655090472433,-1.9863360996916368,0,0,0
-1.0604272183469106,0.3297170133857327,1,0,0
1.218712202812997,-1.229725033114016,0,0,0
0.7856671691717548,-0.15069548758001708,0,0,0
0.043526770907522286,-0.3563197766377274,0,2,-1
-0.03261938045585262,-0.3356498675350729,0,0,0
-1.2863753524103754,0.01182194363275397,1,2,1
1.4146517534827834,0.3178133300107085,2,1,1
1.3095241262006436,-1.0547666393468038,0,0,0
-2.1699277068511966,0.018198535051242838,1,0,0
-0.4755238325603386,-0.059860156327343005,1,2,-1
-1.4591719652811523,0.2661395755958879,1,3,0
-0.7204363437091822,-0.880984397846321,0,2,1
-0.9051844526468107,-0.004728090640529195,1,2,1
-1.9700748318709485,-0.1878390868674915,1,0,0
-0.1750511202029078,0.9472593309220766,1,3,0
0.21985648971499705,-1.5926925316237863,0,0,0
-1.6385098741719615,0.014795763245523267,1,3,0
-1.697741244807361,-0.38403503856776694,1,0,0
-1.3609764511585336,-1.999871465425044,0,0,0
-1.4031981247555394,-1.2869392291580986,0,0,0
-1.5376098796581923,-0.6865043991523375,0,0,0
1.970721763461435,-0.4013772665442598,2,1,1
0.11417851899508162,0.9950699607581354,1,3,0
2.5725884338886944,-2.114257600205949,2,1,1
-2.3193757540575883,0.23478722960836376,1,3,0
-0.6613799367651514,0.7535980537681229,1,3,0
0.5778747705455624,-1.8560150217063454,0,0,0
-0.1970359910001484,-0.05174666122473653,1,0,0
-1.029108468461497,-1.8522938596610128,0,0,0
-0.9198377862983212,2.007878047866066,1,3,0
-1.1484878373134817,0.8269458031143747,1,2,1
-0.313846912863366,1.1445176546840183,1,2,1
1.2064111424417274,0.8840637480135651,2,1,1
2.2591890533351213,-1.2414153049211176,2,1,1
0.750223814278863,-1.9429891719216066,0,2,1
-2.1321007135420507,-0.9529339394930433,1,0,0
-1.983741469827885,-0.30639379173197273,1,0,0
-0.5640339239473674,-1.113506033200289,0,0,0
0.20706610409210774,1.2421369648283145,1,3,0
